0,12,objective,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
13,13,positive,Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
0,5,objective,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
6,7,negative,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
8,21,objective,Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
0,8,objective,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
9,9,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
10,11,objective,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
12,13,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
14,14,objective,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
15,15,positive,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
16,18,objective,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
19,19,negative,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
20,23,objective,with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
0,19,objective,Talking about ACT's &amp;&amp; SAT's; deciding where I want to go to college; applying to colleges and everything about college stresses me out.
20,22,negative,Talking about ACT's &amp;&amp; SAT's; deciding where I want to go to college; applying to colleges and everything about college stresses me out.
0,1,objective,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
2,2,positive,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
3,3,objective,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
4,4,positive,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
5,8,objective,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
9,10,negative,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
11,12,objective,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
13,15,negative,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
16,20,objective,They may have a SuperBowl in Dallas; but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
0,15,objective,Im bringing the monster load of candy tomorrow; I just hope it doesn't get all squiched
0,19,objective,Apple software; retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG
0,3,objective,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
4,4,neutral,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
5,18,objective,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
19,19,positive,@oluoch @victor_otti @kunjand I just watched it! Sridevi's comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
0,18,objective,#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics
