2.60098E+17,595739778,0,9,objective
2.60098E+17,595739778,10,10,neutral
2.60098E+17,595739778,11,16,objective
2.60098E+17,595739778,17,17,negative
2.60098E+17,595739778,18,18,objective
2.63792E+17,83619901,0,13,objective
2.64195E+17,805646850,0,0,objective
2.64195E+17,805646850,1,3,negative
2.64195E+17,805646850,4,16,objective
2.64195E+17,805646850,17,20,negative
2.63816E+17,473936453,0,22,objective
2.63722E+17,917435460,0,16,objective
2.62936E+17,55572169,0,8,objective
2.62936E+17,55572169,9,10,positive
2.62936E+17,55572169,11,11,objective
2.60486E+17,44399968,0,17,objective
2.62969E+17,757209662,0,8,objective
2.62969E+17,757209662,9,13,positive
2.62969E+17,757209662,14,14,objective
2.63791E+17,420538325,0,2,objective
2.63791E+17,420538325,3,3,positive
2.63791E+17,420538325,4,14,objective
2.64092E+17,241608245,0,10,objective
2.63759E+17,563441482,0,15,objective
2.59546E+17,564239094,0,7,objective
2.64249E+17,56019726,0,14,objective
2.64249E+17,56019726,15,16,neutral
2.64249E+17,56019726,17,28,objective
2.64123E+17,312108161,0,0,objective
2.64123E+17,312108161,1,3,positive
2.64123E+17,312108161,4,22,objective
2.64256E+17,200367404,0,2,objective
2.64256E+17,200367404,3,5,negative
2.64256E+17,200367404,6,9,objective
2.64256E+17,200367404,10,14,positive
2.64256E+17,200367404,15,15,objective
2.64256E+17,200367404,16,21,positive
2.64256E+17,200367404,22,23,objective
2.63973E+17,17975115,0,5,objective
2.63973E+17,17975115,6,6,negative
2.63973E+17,17975115,7,16,objective
2.45503E+17,585669658,0,22,objective
2.64223E+17,238082839,0,0,objective
2.64223E+17,238082839,1,2,negative
2.64223E+17,238082839,3,11,objective
2.64223E+17,238082839,12,13,negative
2.64223E+17,238082839,14,20,objective
2.64164E+17,67719080,0,19,objective
2.64031E+17,546146767,0,7,objective
2.64031E+17,546146767,8,9,positive
2.64031E+17,546146767,10,11,objective
2.51536E+17,27934142,0,11,objective
2.51536E+17,27934142,12,12,positive
2.51536E+17,27934142,13,25,objective
2.64247E+17,372313342,0,12,objective
2.64247E+17,372313342,13,14,negative
2.64206E+17,15992060,0,10,objective
2.64206E+17,15992060,11,15,neutral
2.64206E+17,15992060,16,18,objective
2.5625E+17,492894524,0,0,objective
2.5625E+17,492894524,1,3,neutral
2.5625E+17,492894524,4,15,objective
2.5625E+17,492894524,16,17,negative
2.5625E+17,492894524,18,20,objective
2.64239E+17,58147114,0,19,objective
2.64239E+17,58147114,20,20,positive
2.64239E+17,58147114,21,22,objective
2.64148E+17,261217625,0,15,objective
2.64148E+17,261217625,16,17,neutral
2.64148E+17,261217625,18,22,objective
2.59177E+17,14283914,0,0,negative
2.59177E+17,14283914,1,2,objective
2.59177E+17,14283914,3,3,negative
2.59177E+17,14283914,4,16,objective
2.63138E+17,99380608,0,2,objective
2.63138E+17,99380608,3,5,positive
2.63138E+17,99380608,6,17,objective
2.62664E+17,39938577,0,21,objective
2.63951E+17,282962709,0,13,objective
2.63951E+17,282962709,14,16,positive
2.63951E+17,282962709,17,20,objective
2.63951E+17,282962709,21,23,positive
2.63951E+17,282962709,24,27,objective
2.49652E+17,31426673,0,18,objective
2.63153E+17,201082337,0,5,positive
2.63153E+17,201082337,6,7,objective
2.63153E+17,201082337,8,9,positive
2.63153E+17,201082337,10,13,objective
2.63153E+17,201082337,14,15,positive
2.63153E+17,201082337,16,28,objective
2.64224E+17,195495464,0,0,positive
2.64224E+17,195495464,1,8,objective
2.64224E+17,195495464,9,12,positive
2.64224E+17,195495464,13,16,objective
2.59148E+17,451270022,0,2,objective
2.59148E+17,451270022,3,5,negative
2.59148E+17,451270022,6,21,objective
2.63643E+17,37473785,0,21,objective
2.50754E+17,254373775,0,7,objective
2.64225E+17,31638022,0,3,objective
2.64225E+17,31638022,4,4,positive
2.64225E+17,31638022,5,16,objective
2.64225E+17,31638022,17,17,positive
2.64225E+17,31638022,18,20,objective
2.64186E+17,103581767,0,1,objective
2.64186E+17,103581767,2,2,positive
2.64186E+17,103581767,3,10,objective
2.60243E+17,172806519,0,22,objective
2.63181E+17,219593011,0,11,objective
2.63181E+17,219593011,12,12,positive
2.63181E+17,219593011,13,25,objective
2.63821E+17,805564027,0,20,objective
2.64053E+17,71093694,0,17,objective
2.63643E+17,23116112,0,0,objective
2.63643E+17,23116112,1,1,negative
2.63643E+17,23116112,2,5,objective
2.63643E+17,23116112,6,6,negative
2.63643E+17,23116112,7,10,objective
2.63643E+17,23116112,11,11,negative
2.63643E+17,23116112,12,17,objective
2.63643E+17,23116112,18,20,negative
2.52154E+17,232026825,0,1,objective
2.52154E+17,232026825,2,3,positive
2.52154E+17,232026825,4,13,objective
2.52154E+17,232026825,14,15,positive
2.52154E+17,232026825,16,17,objective
2.64027E+17,517159190,0,2,objective
2.64027E+17,517159190,3,3,negative
